ccaa,year,spend_type,total_gastos_eur,func41_agricultura_pesca_alimentacion_eur,source_ref
Comunidad de Madrid,2019,presupuestado,22776618160.0,48402730.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=12&ano=2019
Región de Murcia,2019,presupuestado,5800296390.0,124516460.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=13&ano=2019
Comunidad Foral de Navarra,2019,presupuestado,4312085790.0,117065310.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=14&ano=2019
País Vasco,2019,presupuestado,11219941880.0,163158740.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=15&ano=2019
La Rioja,2019,presupuestado,1488404780.0,54752340.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=16&ano=2019
Andalucía,2020,presupuestado,38545964440.0,2661248260.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=01&ano=2020
Aragón,2020,presupuestado,6466530740.0,652097330.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=02&ano=2020
Principado de Asturias,2020,presupuestado,4757273740.0,193929380.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=03&ano=2020
Comunidad Valenciana,2020,presupuestado,23531232040.0,521502000.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=17&ano=2020
Canarias,2020,presupuestado,9603397680.0,96317140.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=05&ano=2020
Cantabria,2020,presupuestado,2888232610.0,56325090.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=06&ano=2020
Castilla y León,2020,presupuestado,10752614220.0,1346867350.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=07&ano=2020
Castilla-La Mancha,2020,presupuestado,10505083310.0,1286464770.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=08&ano=2020
Cataluña,2020,presupuestado,42322981600.0,642418820.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=09&ano=2020
