year,sex,cause_chapter,deaths
2022,all,XVI,513
2022,all,XVII,862
2022,all,XVIII,10030
2022,all,XX,18574
2022,female,I,18493
2022,female,II,46917
2022,female,III,1360
2022,female,IV,8873
2022,female,IX,64158
2022,female,V,15210
2022,female,VI-VIII,16081
2022,female,X,19052
2022,female,XI,11145
2022,female,XII,1336
2022,female,XIII,3727
2022,female,XIV,10409
2022,female,XV,11
2022,female,XVI,201
2022,female,XVII,413
2022,female,XVIII,5796
2022,female,XX,6873
2022,male,I,20096
2022,male,II,67911
2022,male,III,975
2022,male,IV,7051
2022,male,IX,57183
2022,male,V,7534
2022,male,VI-VIII,10684
2022,male,X,23972
2022,male,XI,12121
2022,male,XII,707
2022,male,XIII,1822
2022,male,XIV,7610
2022,male,XV,0
2022,male,XVI,312
2022,male,XVII,449
2022,male,XVIII,4234
2022,male,XX,11701
2023,all,I,14935
2023,all,II,115429
2023,all,III,2167
2023,all,IV,15405
2023,all,IX,115889
2023,all,V,22073
2023,all,VI-VIII,25871
2023,all,X,47003
2023,all,XI,23045
2023,all,XII,2052
2023,all,XIII,5383
2023,all,XIV,17282
2023,all,XV,11
2023,all,XVI,514
2023,all,XVII,831
2023,all,XVIII,10201
2023,all,XX,18033
2023,female,I,7414
2023,female,II,47265
2023,female,III,1232
2023,female,IV,8365
2023,female,IX,60531
2023,female,V,14631
2023,female,VI-VIII,15559
2023,female,X,21291
2023,female,XI,11100
2023,female,XII,1366
2023,female,XIII,3597
2023,female,XIV,9931
2023,female,XV,11
2023,female,XVI,228
2023,female,XVII,392
2023,female,XVIII,5901
2023,female,XX,6568
2023,male,I,7521
2023,male,II,68164
2023,male,III,935
2023,male,IV,7040
2023,male,IX,55358
2023,male,V,7442
2023,male,VI-VIII,10312
2023,male,X,25712
2023,male,XI,11945
2023,male,XII,686
2023,male,XIII,1786
2023,male,XIV,7351
2023,male,XV,0
2023,male,XVI,286
2023,male,XVII,439
2023,male,XVIII,4300
2023,male,XX,11465
2024,all,I,12246
2024,all,II,115578
2024,all,III,2087
2024,all,IV,15092
2024,all,IX,113620
2024,all,V,22861
2024,all,VI-VIII,26041
2024,all,X,50132
2024,all,XI,22928
2024,all,XII,2055
2024,all,XIII,5228
2024,all,XIV,18228
2024,all,XV,13
2024,all,XVI,574
2024,all,XVII,956
2024,all,XVIII,10128
2024,all,XX,18351
2024,female,I,6138
2024,female,II,47788
2024,female,III,1216
2024,female,IV,8250
2024,female,IX,59363
2024,female,V,15111
2024,female,VI-VIII,15490
2024,female,X,23372
2024,female,XI,11157
2024,female,XII,1282
2024,female,XIII,3441
2024,female,XIV,10185
2024,female,XV,13
2024,female,XVI,246
2024,female,XVII,474
2024,female,XVIII,5757
