sex,nationality,age,year,count
all,europa_no_ue27,36-40,2020,2
female,europa_no_ue27,36-40,2020,0
male,europa_no_ue27,36-40,2020,2
all,europa_no_ue27,41-50,2020,5
female,europa_no_ue27,41-50,2020,0
male,europa_no_ue27,41-50,2020,5
all,europa_no_ue27,51-60,2020,5
female,europa_no_ue27,51-60,2020,0
male,europa_no_ue27,51-60,2020,5
all,europa_no_ue27,61-70,2020,2
female,europa_no_ue27,61-70,2020,1
male,europa_no_ue27,61-70,2020,1
all,europa_no_ue27,71+,2020,1
female,europa_no_ue27,71+,2020,0
male,europa_no_ue27,71+,2020,1
all,europa_no_ue27,total,2020,35
female,europa_no_ue27,total,2020,2
male,europa_no_ue27,total,2020,33
all,oceania,18-20,2020,0
female,oceania,18-20,2020,0
male,oceania,18-20,2020,0
all,oceania,21-25,2020,0
female,oceania,21-25,2020,0
male,oceania,21-25,2020,0
all,oceania,26-30,2020,0
female,oceania,26-30,2020,0
male,oceania,26-30,2020,0
all,oceania,31-35,2020,0
female,oceania,31-35,2020,0
male,oceania,31-35,2020,0
all,oceania,36-40,2020,0
female,oceania,36-40,2020,0
male,oceania,36-40,2020,0
all,oceania,41-50,2020,0
female,oceania,41-50,2020,0
male,oceania,41-50,2020,0
all,oceania,51-60,2020,0
female,oceania,51-60,2020,0
male,oceania,51-60,2020,0
all,oceania,61-70,2020,0
female,oceania,61-70,2020,0
male,oceania,61-70,2020,0
all,oceania,71+,2020,0
female,oceania,71+,2020,0
male,oceania,71+,2020,0
all,oceania,total,2020,0
female,oceania,total,2020,0
male,oceania,total,2020,0
all,total,18-20,2020,193
female,total,18-20,2020,8
male,total,18-20,2020,185
all,total,21-25,2020,287
female,total,21-25,2020,5
male,total,21-25,2020,282
all,total,26-30,2020,256
female,total,26-30,2020,8
male,total,26-30,2020,248
all,total,31-35,2020,270
female,total,31-35,2020,8
male,total,31-35,2020,262
all,total,36-40,2020,323
female,total,36-40,2020,13
male,total,36-40,2020,310
